norm_song,norm_artist,albumCover,songNumber,KR_Song,KR_artist,ENG_Song,ENG_artist,score,Rank,bugs,melon,genie,vibe,flo,apple
spot,지코,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/2e/2c/9c/2e2c9cb1-7352-867a-013c-9c885a9f7f4e/196922944741_Cover.jpg/600x600bb-60.jpg,1742019076,SPOT! (feat. JENNIE),ZICO,SPOT! (feat. JENNIE),ZICO,11858.4,1,1,1,1,5,1,2
magnetic,아일릿,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/3e/49/1e/3e491e43-4961-21ab-2abe-37fb1c0feb40/196922879227_Cover.jpg/600x600bb-60.jpg,1734500896,Magnetic,아일릿,Magnetic,ILLIT,11808.0,2,2,2,2,1,2,1
나는아픈건딱질색이니까,아이들,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/96/da/6d/96da6de4-8824-f449-7a7a-243aaa9f3a75/cover_KM0019415_1.jpg/600x600bb-60.jpg,1727258596,나는 아픈 건 딱 질색이니까,(여자)아이들,Fate,(G)I-DLE,11621.4,3,4,3,3,2,3,12
첫만남은계획대로되지않아,투어스,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/c4/d6/e6/c4d6e6cc-b5dc-8ddf-34cd-bf11b33cc1e1/196922759543_Cover.jpg/600x600bb-60.jpg,1723932648,첫 만남은 계획대로 되지 않아,투어스,plot twist,TWS,11507.6,4,6,4,4,3,4,10
고민중독,qwer,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/75/54/38/75543853-92c7-064c-fe26-2cbf5eecc6d8/cover_KM0019655_1.jpg/600x600bb-60.jpg,1737366585,고민중독,QWER,T.B.H,QWER,11445.1,5,3,5,5,6,5,5
미안해미워해사랑해,크러쉬,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/84/b6/a8/84b6a808-9f87-47df-b41b-b15e1bdace30/191953341866.jpg/600x600bb-60.jpg,1736887939,미안해 미워해 사랑해,크러쉬,Love You With All My Heart,Crush,11093.8,6,7,7,9,11,6,11
밤양갱,비비,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ba/31/d6/ba31d644-bb34-1e4c-5600-c403b83159ef/cover_KM0019491_1.png/600x600bb-60.jpg,1729547611,밤양갱,비비,Bam Yang Gang,BIBI,11029.5,7,8,8,6,4,7,35
한페이지가될수있게,데이식스,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/b3/8f/9d/b38f9d23-d5c3-cde5-92ad-9a8fa6d0a7eb/DAY6_The_Book_of_Us_Gravity_3000x3000.jpg/600x600bb-60.jpg,1471938396,한 페이지가 될 수 있게,데이식스,Time of Our Life,DAY6,10735.5,8,12,11,10,8,8,23
lovewinsall,아이유,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/3e/43/d2/3e43d2dc-acd4-5db6-9ae7-99299a044584/cover_KM0019422_1.jpg/600x600bb-60.jpg,1731352617,Love wins all,아이유,Love wins all,IU,10697.3,9,20,9,11,7,12,22
sheesh,babymonster,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/fb/68/85/fb68856f-4965-5d30-78ea-fe6bb261f4ff/3000px.jpg/600x600bb-60.jpg,1737962890,SHEESH,BABYMONSTER,SHEESH,BABYMONSTER,10665.5,10,5,12,16,13,9,3
