,norm_song,norm_artist,albumCover,songNumber,KR_Song,KR_artist,ENG_Song,ENG_artist,score
0,magnetic,아일릿,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/3e/49/1e/3e491e43-4961-21ab-2abe-37fb1c0feb40/196922879227_Cover.jpg/600x600bb-60.jpg,1734500896,Magnetic,아일릿,Magnetic,ILLIT,11808.0
1,spot,지코,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/2e/2c/9c/2e2c9cb1-7352-867a-013c-9c885a9f7f4e/196922944741_Cover.jpg/600x600bb-60.jpg,1742019076,SPOT! (feat. JENNIE),ZICO,SPOT! (feat. JENNIE),ZICO,11858.4
2,sheesh,babymonster,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/fb/68/85/fb68856f-4965-5d30-78ea-fe6bb261f4ff/3000px.jpg/600x600bb-60.jpg,1737962890,SHEESH,BABYMONSTER,SHEESH,BABYMONSTER,10665.5
3,impossible,riize,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/75/66/a0/7566a0c0-59a2-4a3e-94d6-a17eca627519/888735947346.png/600x600bb-60.jpg,1739150377,Impossible,RIIZE,Impossible,RIIZE,6518.1
4,고민중독,qwer,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/75/54/38/75543853-92c7-064c-fe26-2cbf5eecc6d8/cover_KM0019655_1.jpg/600x600bb-60.jpg,1737366585,고민중독,QWER,T.B.H,QWER,11445.099999999999
5,luckygirlsyndrome,아일릿,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/3e/49/1e/3e491e43-4961-21ab-2abe-37fb1c0feb40/196922879227_Cover.jpg/600x600bb-60.jpg,1734501146,Lucky Girl Syndrome,아일릿,Lucky Girl Syndrome,ILLIT,2285.6
6,earthwindfire,보이넥스트도어,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/3e/38/bf/3e38bf61-7171-1cfc-7dc4-8e74751f2b6b/196922852268_Cover.jpg/600x600bb-60.jpg,1738692253,"Earth, Wind & Fire",보이넥스트도어,"Earth, Wind & Fire",BOYNEXTDOOR,526.4
7,midastouch,kissoflife,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/e1/6f/c2/e16fc273-6872-31a0-a667-3e8777da2636/8804775348402.jpg/600x600bb-60.jpg,1737365432,Nothing,KISS OF LIFE,Nothing,KISS OF LIFE,5373.6
8,siren,riize,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/17/ad/44/17ad442d-d625-bbd3-f5c2-03dccaab74b7/888735947322.png/600x600bb-60.jpg,1737804338,Siren,RIIZE,Siren,RIIZE,5340.9
9,첫만남은계획대로되지않아,투어스,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/c4/d6/e6/c4d6e6cc-b5dc-8ddf-34cd-bf11b33cc1e1/196922759543_Cover.jpg/600x600bb-60.jpg,1723932648,첫 만남은 계획대로 되지 않아,투어스,plot twist,TWS,11507.6
